fecha,nombre,tienda,precio,objetivo,url
2026-05-29 11:35,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
2026-05-30 10:07,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
2026-05-31 10:21,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
2026-06-01 13:45,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
2026-06-02 12:12,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
2026-06-03 12:48,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
2026-06-04 11:22,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
2026-06-05 11:34,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
2026-06-06 10:13,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
2026-06-07 10:33,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
2026-06-08 12:39,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
2026-06-09 11:24,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
2026-06-10 11:44,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
2026-06-11 12:15,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
2026-06-12 11:49,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
2026-06-13 10:34,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
2026-06-14 10:52,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
2026-06-15 14:30,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
2026-06-16 13:00,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
2026-06-17 12:22,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
2026-06-18 11:55,Brocosulf 90 caps - Nutripraxis,Herbolario Saludnatural,80.23,75.0,https://www.herbolariosaludnatural.com/products/18108-brocosulf-nutripraxis-90-capsulas
